Year,Region,Commodity,Distance,Function,Status,Num_employee,Employee_hour,Hours_office,Hours_operation,Hours_other,Safety_cost,Num_accidents
2019,27,2,0,4,3,7,12494.4,20,12474.4,0,1.34,0
2017,35,1,0,1,3,6,13650.47,2402.49,11247.98,0,2.01,0
2019,12,5,0,4,4,8,17480.66,0,17480.66,0,0.54,0
2017,23,1,0,1,4,5,6776.81,7.99,6768.82,0,2.14,0
2020,23,1,0,1,4,2,1869.53,3.98,1865.55,0,NA,0
2020,38,4,0,4,2,6,11746.86,0,0,11746.86,0.73,0
2019,28,1,0,1,4,3,884.73,0,884.73,0,3.24,0
2019,23,3,0,3,3,328,675322.09,40815.43,0,634506.67,3.55,0
2019,38,2,0,4,4,1,16.63,0,16.63,0,0.71,0
2017,26,1,0,1,4,3,469.13,8.12,461.01,0,3.56,0
2017,46,4,4.29,2,2,77,167160.15,0,0,167160.15,0.68,7
2017,44,2,0,4,3,10,24101.59,3171.53,20930.07,0,1.32,0
2019,23,1,0,1,4,4,817.93,272.97,544.96,0,NA,0
2020,33,3,0,2,3,6,9034.61,3003.54,0,6031.06,3.5,0
2019,23,1,0,1,4,5,6337,277.13,6059.87,0,2.79,0
2020,44,1,0,1,3,13,31772.03,3116.53,28655.5,0,2.52,0
2019,23,1,0,1,4,5,4615.83,7.01,4608.81,0,2.31,0
2020,35,5,0,4,4,6,11751.11,4278.05,4467.41,3005.66,0.24,0
2020,16,5,0,4,6,11,10397.88,26.95,0,10370.94,1.11,0
2018,39,5,0,4,3,9,1663.1,398.83,1264.28,0,0.31,0
2018,12,5,0,4,4,1,38.2,0,38.2,0,0.36,0
2020,38,4,0,4,1,1,611.91,0,611.91,0,1.55,0
2019,38,5,0,4,4,2,267.83,0,267.83,0,1.13,0
2019,11,1,0,1,4,4,2119.95,0,2119.95,0,2.37,0
2018,22,1,0,1,4,2,3179.51,0,3179.51,0,3.39,0
2018,44,1,0,1,3,13,31086.33,4082.91,27003.42,0,1.4,0
2019,34,5,0,4,3,92,201872.42,28794.63,0,173077.79,0.72,6
2020,22,1,0,1,4,1,80.35,0,80.35,0,NA,0
2020,48,5,0,4,3,11,15691.53,2526.37,2214.2,10950.95,1.34,3
2020,5,1,0,1,3,16,36630.59,9869,26761.58,0,1.83,2
2018,17,4,3.71,2,1,18,31832.07,864.06,0,30968.01,3.81,0
2020,26,1,0,1,4,5,1853.8,19.81,1833.99,0,2.31,0
2017,35,5,0,4,4,11,13786.09,1652.93,6067.08,6066.08,0.64,0
2018,12,2,0,4,3,4,9190.18,6,0,9184.18,1.22,0
2019,38,5,0,4,4,5,8284.55,2277.78,3975.87,2030.91,0.11,0
2019,35,5,0,4,3,4,8393.25,0,8393.25,0,0.04,0
2018,19,5,0,4,3,43,72994.45,14472.08,260.02,58262.35,1.19,0
2019,15,5,0,4,3,6,12558.42,3539.02,2503.89,6515.51,0.32,0
2019,38,5,0,4,4,10,13840.5,1320.05,12520.45,0,1.12,0
2017,15,5,0,2,3,16,36277.57,2490.89,0,33786.68,0.35,0
2017,42,1,0,1,4,3,1037.61,8.92,1028.69,0,2.7,0
2018,44,5,0,4,4,4,5247.88,1709.29,3538.6,0,0.51,0
2020,25,1,0,1,6,10,21348.31,4797.57,16550.75,0,3.66,0
2020,9,5,0,4,3,21,51068.89,14007.36,12854,24207.53,0.82,0
2017,38,4,3.04,4,1,3,4890.87,0,4890.87,0,2.23,0
2017,17,5,0,4,3,15,32142.07,5849.47,8183.25,18109.35,0.03,0
2017,38,1,0,1,4,8,21376.31,2077.6,19298.71,0,1.91,0
2020,5,5,0,4,4,4,2194.86,322.77,1872.08,0,1.04,0
2018,23,5,0,4,4,1,11.28,11.28,0,0,0.83,0
2019,38,4,3.87,2,2,42,84800.78,0,0,84800.78,3.95,3
2018,22,1,0,1,4,8,16740.57,0,16740.57,0,1.95,0
2017,22,1,0,1,4,8,9730.65,1767.21,7963.44,0,3.41,0
2020,35,4,3.71,4,2,4,4883.43,0,4883.43,0,2.03,0
2019,28,1,0,1,4,8,8934.01,1246.09,7687.91,0,2.73,0
2020,4,1,0,1,4,1,45.35,0,45.35,0,2.34,0
2019,44,1,0,1,3,6,9867.4,40.08,9827.31,0,1.9,0
2020,37,5,0,4,4,12,7570.3,0,7570.3,0,1.06,0
2017,42,1,0,1,4,5,4892.66,6,4886.66,0,1.61,0
2019,23,1,0,1,4,1,12.73,12.73,0,0,1.38,0
2018,14,1,0,1,4,2,5203.95,0,5203.95,0,2,0
2020,21,1,0,1,4,4,7391.75,4382.07,3009.68,0,3.25,0
2018,2,2,0,4,3,6,4406.35,957.68,3448.66,0,0.73,0
2020,24,5,0,4,3,5,7931.45,2255.56,2411.53,3264.36,0.48,0
2018,5,1,0,1,3,5,10040.32,2119.76,7920.56,0,3.57,0
2018,36,5,0,4,3,11,20299.23,3642.04,16657.19,0,1.13,0
2018,28,1,0,1,4,4,4761.2,0,4761.2,0,3.05,0
2018,32,1,0,1,4,2,893.52,0,893.52,0,3.42,0
2019,26,1,0,1,3,4,9612.65,0,9612.65,0,2.28,0
2017,17,4,4.2,3,1,49,131094.77,0,0,131094.77,3.69,1
2019,10,1,0,1,3,5,5246.79,0,0,5246.79,3.31,0
2020,38,4,0,3,1,2,3398.38,0,0,3398.38,1.53,0
2018,38,5,0,4,4,2,108.81,0,108.81,0,1.36,0
2019,15,1,0,1,3,18,46453.86,12372.49,0,34081.36,NA,1
2020,38,4,0,3,1,3,3501.18,0,0,3501.18,3.9,0
2018,43,4,0,3,1,27,65527.13,2409.75,0,63117.39,3.83,0
2019,35,1,0,1,3,13,25660.28,7712.89,17947.39,0,1.64,0
2018,23,1,0,1,4,6,10102.14,3,10099.14,0,3.7,1
2017,23,1,0,1,4,1,116.05,0,116.05,0,3.2,0
2020,38,5,0,4,3,38,94513.72,18442.97,38865.83,37204.92,0.32,4
2019,24,1,0,1,3,3,4028.82,4,0,4024.83,3.12,0
2018,5,1,0,1,4,3,2425.11,1569.25,855.86,0,2.2,0
2017,45,1,0,1,4,1,872.6,0,872.6,0,2.18,0
2020,34,5,0,4,4,3,3259.52,4,3255.52,0,0.62,0
2018,38,5,0,4,3,13,37286.07,11392.91,25893.16,0,0.26,0
2018,5,1,0,1,4,1,1328.12,0,1328.12,0,2.56,0
2019,10,1,0,1,3,3,6644.84,0,0,6644.84,3.65,0
2019,48,1,0,1,4,3,412.65,4.13,408.52,0,2.45,0
2019,14,1,0,1,4,2,156.99,0,156.99,0,3.3,0
2017,19,1,0,1,4,5,472.63,10.5,462.12,0,2,0
2020,13,1,0,1,4,3,2829.98,0,2829.98,0,2.84,0
2019,21,1,0,1,3,11,26010.58,2078.85,23931.73,0,1.41,0
2020,27,5,0,4,3,5,9339.11,2661.61,1875.02,4802.48,0.74,0
2017,48,5,0,4,3,24,6493.27,175.12,0,6318.16,0.55,0
2020,2,5,0,4,3,68,129811.39,43880.55,8224.23,77706.6,0.66,3
2019,34,1,0,1,4,3,5393.25,0,5393.25,0,3.29,0
2017,48,1,0,1,3,7,13143.2,2480.98,10662.22,0,1.91,0
2018,35,2,0,4,3,11,22033.38,2103.42,0,19929.96,0.83,0
2020,25,1,0,1,3,11,19607.68,0,19607.68,0,1.99,0
2017,6,1,0,1,4,4,505.26,47.97,457.29,0,2.68,0
2018,37,5,0,4,4,2,1691.94,0,1691.94,0,1.02,0
2018,5,5,0,4,4,3,2313.73,55.78,2257.95,0,1.15,0
2020,16,1,0,1,3,8,14191.75,2927.12,0,11264.63,2.45,0
2018,35,1,0,1,3,5,11198,128.74,11069.26,0,1.67,0
2019,38,5,0,4,3,36,92037.04,4784.79,87252.25,0,0.51,0
2020,15,5,0,3,3,7,13754.06,1920.15,0,11833.92,0.38,0
2018,9,1,0,1,3,2,2748.99,1107.59,0,1641.4,1.66,0
2020,44,5,0,4,6,1,7.66,0,7.66,0,1.22,0
2018,46,4,4.11,4,1,81,185492.2,0,185492.2,0,0.66,9
2020,13,1,0,1,3,9,19344.15,0,19344.15,0,NA,0
2018,19,5,0,4,3,10,15355.98,1831.69,13524.29,0,1.31,0
2017,22,1,0,1,3,6,10366.47,1207.94,9158.53,0,1.52,0
2020,21,1,0,1,4,3,1150.35,749.8,400.55,0,3.37,0
2018,21,1,0,1,4,3,794.37,48.78,745.59,0,1.87,0
2018,11,5,0,4,4,4,2135.11,35.08,2100.02,0,1,0
2019,34,1,0,1,4,6,450.98,0,450.98,0,NA,0
2017,6,1,0,1,4,3,2232.33,0,2232.33,0,2.64,0
2018,33,1,0,1,6,1,-1.97,-1.97,0,0,2.71,0
2020,33,3,0,2,6,6,2940.6,15.03,0,2925.57,3.91,0
2020,2,1,0,1,3,12,31413.79,2682.81,28730.98,0,1.86,0
2018,38,4,3.89,4,1,2,1725.32,0,1725.32,0,2.81,0
2019,23,1,0,1,4,3,3656.02,0,3656.02,0,2.99,0
2018,14,1,0,1,4,10,1049.5,635.51,413.98,0,NA,0
2017,38,5,0,4,4,2,2995.37,0,2995.37,0,3.28,0
2020,33,3,0,4,3,297,626087.04,35380.29,342155.75,248551,3.73,0
2017,23,1,0,1,4,4,3494.93,500.13,0,2994.8,2.17,0
2019,14,5,0,4,3,23,52095.7,6051.31,31520.63,14523.75,0.16,3
2018,17,4,4.11,2,1,40,86807.1,0,0,86807.1,NA,4
2020,38,5,0,4,3,18,41818.02,4416.37,37401.65,0,1.39,3
2018,38,5,0,4,3,10,19432.02,2036.69,17395.33,0,0.82,0
2018,13,1,0,1,3,15,28814.88,0,28814.88,0,1.69,2
2018,38,4,0,3,1,6,11551.29,0,0,11551.29,NA,0
2018,13,5,0,3,3,13,23354.21,3320.88,0,20033.32,0.42,4
2017,44,5,0,4,3,5,16702.29,3667.31,13034.98,0,0.84,0
2018,27,5,0,4,3,7,9117.11,2122.1,6443.25,551.76,0.91,0
2020,17,4,4.57,2,1,27,58070.23,0,0,58070.23,3.74,1
2018,5,1,0,1,3,4,4317.94,1297.48,3020.45,0,1.45,0
2017,6,1,0,1,4,5,13686.36,0,13686.36,0,2.66,0
2020,43,5,0,4,4,3,3816,0,3816,0,0.56,0
2020,26,1,0,1,3,3,6408.27,0,6408.27,0,1.48,0
2017,1,1,0,1,4,10,5034.17,537.12,4497.04,0,2.08,0
2019,28,1,0,1,6,1,71.3,0,71.3,0,3.1,0
2019,12,1,0,1,4,3,658.51,157.47,501.04,0,3.05,0
2018,12,5,0,4,4,3,5216.07,0,5216.07,0,NA,0
2018,22,1,0,1,4,1,553.58,0,553.58,0,2.74,0
2017,48,5,0,4,3,3,3565.62,0,1495.9,2069.72,1.31,0
2017,34,2,0,4,4,4,1458.78,495.66,963.12,0,1.3,2
2017,23,1,0,1,4,2,1778.49,0,1778.49,0,2.99,0
2019,13,1,0,1,4,3,945.53,0,945.53,0,2.19,0
2019,44,3,0,2,4,4,1434.96,189.6,0,1245.37,3.92,0
2017,38,4,0,3,1,8,16952.55,4018.26,0,12934.28,3.84,1
2020,44,1,0,1,4,5,11816.51,1682.93,10133.58,0,3.77,0
2019,42,2,0,4,4,2,4505.93,0,4505.93,0,1.57,0
2019,38,5,0,4,3,5,9261.55,1755.91,7505.63,0,3.41,0
2020,27,5,0,4,4,3,1019.81,50.4,969.42,0,1.24,0
2017,17,4,0,3,1,1,467.03,0,0,467.03,2.89,0
2018,13,5,0,4,4,8,8714.52,0,8714.52,0,3.89,0
2018,34,5,0,4,3,95,199291.12,28275.02,0,171016.1,0.71,0
2019,23,1,0,1,4,7,11474.84,3,11471.84,0,2.89,0
2018,22,1,0,1,3,7,16308.79,5163.5,11145.29,0,1.88,0
2019,27,1,0,1,4,2,592.9,0,0,592.9,3.28,0
2020,10,1,0,1,4,3,1223.78,138.54,1085.24,0,3.66,0
2019,32,1,0,1,4,3,583.87,0,583.87,0,1.94,0
2020,38,4,4.57,4,1,2,2733.11,0,2733.11,0,0.25,0
2019,45,5,0,4,4,2,369.13,0,369.13,0,1.33,0
2018,28,1,0,1,4,2,3471.83,0,3471.83,0,1.76,0
2018,38,5,0,4,4,2,1497.81,0,1497.81,0,1.17,0
2017,17,4,0,3,1,42,85312.71,0,0,85312.71,3.91,1
2020,12,5,0,4,3,8,12597.73,48,12549.72,0,1.03,0
2017,38,5,0,4,3,7,14156.83,3294.05,10862.78,0,1.16,0
2018,48,1,0,1,3,9,20354.11,3110.09,17244.03,0,2.15,0
2018,44,5,0,2,3,50,108824.05,32542.82,0,76281.23,0.31,0
2020,21,1,0,1,4,5,6228.37,160.4,6067.98,0,2.9,0
2019,44,5,0,4,3,27,80571.22,2784.94,77786.29,0,1.31,0
2017,20,5,0,4,3,33,64981.57,8670.88,13568.37,42742.32,0.51,0
2017,46,4,3.89,2,6,16,13457.09,0,0,13457.09,1.36,0
2017,33,2,0,4,6,8,4194.03,954.64,3239.39,0,1.44,0
2019,13,1,0,1,4,4,6519.03,0,6519.03,0,3.01,0
2017,16,5,0,2,3,26,66578.13,6658.61,0,59919.52,0.31,0
2017,31,1,0,1,3,7,10002.8,1665.63,8337.17,0,2.01,0
2020,20,5,0,4,3,5,8859.23,2482.34,6376.88,0,3.4,0
2017,27,5,0,4,3,8,11292.48,2044.27,5019.66,4228.55,0.85,0
2018,23,1,0,1,4,3,500.23,11.86,488.37,0,1.87,0
2020,37,5,0,4,4,4,8699.08,0,8699.08,0,1.08,0
2019,29,1,0,1,4,2,1516.41,876.01,640.4,0,2.02,0
2017,6,5,0,4,3,3,4333.26,0,4333.26,0,1,0
2018,38,4,0,3,7,2,3608.45,0,0,3608.45,1.24,0
2017,34,1,0,1,4,1,146.72,0,146.72,0,2.33,0
2019,37,5,0,4,4,5,6052.34,2998.68,3053.66,0,1.05,0
2017,14,4,4.29,2,1,606,1442871.74,134703.98,0,1308167.76,3.79,37
2018,23,1,0,1,4,5,647.53,8.02,639.51,0,2.17,0
2019,27,5,0,4,3,5,15161.2,1513.92,6823.64,6823.64,1.03,0
2018,38,4,3.61,4,1,7,14705.41,0,14705.41,0,3.95,1
2019,22,1,0,1,4,3,937.77,21.95,915.83,0,2.95,0
2020,19,1,0,1,4,3,3411.66,0,3411.66,0,NA,0
2018,10,2,0,4,3,16,32661.17,0,2039.95,30621.23,0.97,0
2017,27,5,0,4,3,5,7529,968.83,6132.92,427.25,NA,0
2020,45,4,0,3,1,4,6611.35,0,0,6611.35,3.9,0
2018,34,1,0,1,3,8,16184.52,2079.81,14104.71,0,2.98,0
2019,23,1,0,1,4,3,2099.12,55.79,2043.33,0,3.61,0
2020,32,2,0,4,4,9,7690.23,382.41,7307.82,0,1.26,0
2019,44,5,0,4,6,2,633.12,0,633.12,0,0.87,0
2020,5,5,0,4,3,123,238194.91,49015.57,0,189179.34,0.68,0
2017,18,1,0,1,6,5,5195.6,1788.96,3406.64,0,3.12,0
2020,44,5,0,4,4,3,1949.4,0,1949.4,0,0.24,0
2020,23,1,0,1,4,3,956.51,3.95,952.55,0,2.12,0
2017,34,1,0,1,4,16,30858.45,621.11,30237.34,0,2.86,1
2018,44,5,0,4,3,28,65165.76,12672.23,52493.53,0,1.03,2
2017,28,1,0,1,4,2,2338.18,0,2338.18,0,1.95,0
2017,44,1,0,1,3,12,26861.89,1876.78,24985.11,0,1.44,0
2018,39,5,0,4,4,5,3383.07,441.18,2701.24,240.64,0.58,0
2018,6,5,0,4,4,1,2389.2,0,2389.2,0,0.44,0
2019,21,1,0,1,4,3,2974.04,25.03,2949.01,0,1.82,0
2020,1,1,0,1,4,2,558.76,6.87,551.88,0,3.17,0
2020,16,5,0,4,4,4,1565.87,0,1565.87,0,1.31,0
2019,30,5,0,4,4,18,18393.6,2148.42,15547.04,698.14,3.37,0
2018,26,1,0,1,6,2,1786.76,0,1786.76,0,3.32,0
2020,27,2,0,3,3,59,110688.14,42970.71,0,67717.42,1.49,0
2020,33,5,0,4,4,6,4252.48,2784.55,190.38,1277.55,3.72,0
2017,21,1,0,1,4,3,1531.53,629.98,901.55,0,2.01,0
2020,44,2,0,4,3,6,2178.62,2178.62,0,0,1.45,0
2019,26,1,0,1,4,4,679.76,0,679.76,0,3.06,0
2017,12,1,0,1,4,7,5605.14,1501.79,4103.35,0,1.74,0
2017,5,1,0,1,3,6,13433.94,0,13433.94,0,1.74,0
2020,37,5,0,4,3,3,1691.82,0,1691.82,0,1.08,0
2018,15,5,0,2,3,19,46253.83,2515.05,0,43738.78,NA,4
2020,24,5,0,4,4,5,6262.33,2072.42,1129.86,3060.05,0.52,0
2017,45,1,0,1,4,2,662.65,0,662.65,0,1.76,0
2020,5,1,0,1,4,1,735.24,735.24,0,0,3.62,0
2018,45,1,0,1,4,7,6471.88,0,6471.88,0,1.9,0
2019,29,1,0,1,3,3,4237.03,372.65,0,3864.38,1.78,0
2020,5,5,0,4,3,8,9493.35,889.56,471.77,8132.02,1.09,0
2020,48,1,0,1,3,8,18524.93,2242.87,16282.06,0,3.98,2
2017,18,1,0,1,3,3,2190.99,0,0,2190.99,1.75,0
2017,32,1,0,1,4,8,9189.49,4,9185.49,0,2.26,0
2017,26,1,0,1,4,3,1582.42,0,1582.42,0,2.82,0
2019,22,1,0,1,4,7,5158.91,1253.28,3905.64,0,3.44,0
2018,28,1,0,1,4,2,1342.38,0,1342.38,0,2.52,0
2020,4,3,0,4,3,51,84804.94,17852.83,66952.11,0,3.96,0
2017,19,1,0,1,3,3,4077.45,13.02,4064.43,0,2.23,0
2019,46,1,0,1,3,12,25691.17,2435.35,23255.82,0,1.76,0
2017,44,5,0,4,4,5,11543.62,2034.47,9509.15,0,0.6,0
2018,45,1,0,1,4,3,3081.18,0,3081.18,0,3.11,0
2017,9,1,0,1,3,10,19762.93,4923.72,14839.2,0,2.8,0
2020,17,5,0,4,3,21,42260.43,6590.85,12828.65,22840.93,NA,0
2018,16,5,0,4,4,3,386.85,0,386.85,0,3.77,0
2018,28,1,0,1,3,1,2114.47,0,2114.47,0,1.83,0
2020,25,1,0,1,3,4,5850.78,88.04,0,5762.74,1.81,0
2019,10,2,0,3,3,91,201136.03,14896.82,0,186239.21,0.89,0
2020,16,1,0,1,4,4,3788.77,2492.22,0,1296.55,2.48,0
2018,36,1,0,1,3,3,4639.89,0,0,4639.89,1.91,0
2020,16,1,0,1,4,2,3225.38,0,3225.38,0,3.1,0
2018,31,5,0,4,3,12,32958.09,5684.95,27273.14,0,0.86,0
2020,23,1,0,1,3,21,48983.72,4,48979.72,0,1.89,0
2018,4,3,0,4,3,846,1621354.75,122891.98,1105261.83,393200.94,3.75,19
2018,40,5,0,4,4,4,6502.52,0,6502.52,0,0.72,0
2019,42,1,0,1,4,4,285.4,12.25,273.16,0,2.23,0
2019,23,1,0,1,3,4,2402.09,4,2398.09,0,1.51,0
2019,29,1,0,1,4,3,4846.64,0,0,4846.64,2.04,0
2019,12,1,0,1,3,4,7667.58,1765.82,4304.01,1597.75,2.71,0
2019,17,5,0,4,3,20,53041.67,2414.35,50627.32,0,0.17,4
2018,24,5,0,2,3,20,53165.22,1420.25,0,51744.98,0.53,4
2020,20,5,0,4,4,4,6347.85,2108.28,4239.57,0,NA,0
2019,34,5,0,4,3,12,26605.81,4789.81,1378.37,20437.64,1.34,4
2020,45,1,0,1,4,3,1620.48,0,1620.48,0,NA,0
2018,45,1,0,1,6,2,104.74,0,104.74,0,3.44,0
2017,5,1,0,1,3,12,29304.46,4671.71,24632.75,0,1.53,0
2019,34,1,0,1,4,2,237.17,0,237.17,0,2.88,0
2017,34,1,0,1,4,5,8975.68,2063.7,6911.98,0,2.69,0
2017,15,5,0,4,3,33,78500.5,7790.25,24085.77,46624.49,0.24,3
2017,45,2,0,4,4,3,239.05,2.98,236.07,0,1.31,0
2019,23,1,0,1,4,4,5223.82,4,5219.82,0,3.16,0
2020,6,5,0,4,3,52,80013.45,6236.11,51707.94,22069.4,NA,7
2020,33,5,0,4,3,30,60659.33,1337.79,59321.54,0,1,0
2020,34,1,0,1,4,2,1820.19,0,1820.19,0,2.43,0
2019,38,5,0,4,6,2,311.88,0,311.88,0,3.47,1
2018,3,1,0,1,3,16,30445.71,9235.67,21210.04,0,1.91,0
2020,19,1,0,1,4,3,2387.51,13.02,2374.49,0,2.1,0
2017,4,1,0,1,3,18,24926.57,120.02,24806.54,0,1.46,2
2018,6,1,0,1,4,3,848.25,40.11,808.15,0,3.39,0
2017,1,3,0,4,4,7,18400.85,3414.9,0,14985.95,0.75,0
2018,21,1,0,1,4,1,1.51,1.51,0,0,2.33,0
2019,34,5,0,4,4,4,2003.52,50.21,1953.31,0,0.64,0
2018,38,5,0,4,3,6,7147.64,2438.66,184.35,4524.64,1.02,0
2017,14,2,0,4,4,1,603.36,603.36,0,0,1.48,0
2020,32,5,0,4,6,10,4949.98,5,4944.98,0,NA,0
2019,34,1,0,1,4,2,765.03,0,765.03,0,2.57,0
2018,20,5,0,4,4,3,5454.66,0,1496.55,3958.11,3.56,0
2020,13,1,0,1,4,2,200.93,4.12,196.81,0,2.73,0
2019,38,4,0,3,1,10,23290.58,2555.61,0,20734.97,3.97,0
2018,47,5,0,4,6,3,4833.66,1666.05,3167.61,0,1.19,0
2019,37,1,0,1,4,3,4884.73,0,4884.73,0,2.31,0
2019,23,1,0,1,4,3,1396.6,18.12,1378.47,0,2.89,0
2019,36,1,0,1,4,1,1615.53,0,1615.53,0,1.75,0
2020,34,5,0,4,4,3,220.25,40.6,179.65,0,0.26,0
2018,38,4,0,3,7,2,118.75,0,0,118.75,3.96,0
2017,5,1,0,1,4,1,1154.39,0,1154.39,0,2.74,0
2018,44,5,0,4,4,5,5592.2,89.92,5502.28,0,0.19,0
2019,12,5,0,4,3,20,25260.32,873.56,24386.76,0,0.22,0
2019,34,1,0,1,6,2,1845.03,0,1845.03,0,3.1,0
2017,44,5,0,4,3,8,13100.25,2602.24,10498.02,0,0.1,0
2020,23,1,0,1,4,3,1857.25,0,1857.25,0,2.34,0
2018,27,1,0,1,4,1,1906.29,0,1906.29,0,3.29,0
2020,5,1,0,1,3,10,18809.79,4123.56,14686.24,0,1.54,0
2017,5,5,0,4,3,6,8820.1,2988.03,5832.06,0,1.11,0
2018,15,5,0,4,3,14,30078.9,4012.72,26066.18,0,0.38,0
2020,5,1,0,1,4,3,2313.48,0,2313.48,0,3.3,0
2018,22,1,0,1,4,3,502.64,22.1,480.54,0,2.42,0
2020,19,1,0,1,6,23,110.08,110.08,0,0,3.51,0
2020,22,1,0,1,4,4,4138.24,1288.39,2849.86,0,1.83,0
2018,17,4,0,4,2,34,83022.02,0,83022.02,0,3.63,2
2017,6,1,0,1,4,4,2127.6,618.59,1509,0,2.13,0
2018,38,4,0,3,1,8,19756.92,0,0,19756.92,2.71,0
2017,42,1,0,1,4,2,544.32,0,544.32,0,3.33,0
2019,27,5,0,4,3,4,2641.24,62.17,2579.07,0,0.97,0
2019,4,3,0,4,3,19,42111.97,4490.04,37621.93,0,0.79,0
2019,22,1,0,1,4,2,2441.47,0,0,2441.47,1.81,0
2019,43,5,0,4,3,4,8848.09,0,8848.09,0,1.22,0
2019,47,5,0,4,4,4,2140.32,0,300.06,1840.26,3.68,0
2019,36,5,0,4,4,3,1055.34,0,1055.34,0,3.52,0
2019,5,1,0,1,3,5,7268.73,2221.08,5047.65,0,1.42,0
2020,1,3,0,4,4,3,2507.7,15.08,2492.62,0,2.74,0
2017,23,1,0,1,4,2,830.99,0,830.99,0,2.25,0
2019,23,1,0,1,4,1,11.1,11.1,0,0,1.91,0
2019,44,1,0,1,3,4,6633.76,0,6633.76,0,2.09,0
2017,48,5,0,4,4,13,5439.81,0,3847.3,1592.51,0.54,0
2018,34,5,0,4,3,10,15060.21,19.99,15040.22,0,1.18,0
2019,26,5,0,4,4,3,1264.9,0,1264.9,0,1.37,0
2017,2,5,0,4,3,2,2630.53,0,2630.53,0,0.03,0
2020,28,1,0,1,4,3,2031.48,0,2031.48,0,3.13,0
2019,32,1,0,1,3,8,18760,2144.11,16615.89,0,2.54,0
2019,14,3,0,3,3,19,41152.2,6564.71,0,34587.48,3.7,0
2020,17,4,3.5,4,1,16,21768.77,0,21768.77,0,NA,0
2020,47,1,0,1,4,4,3318.67,0,3318.67,0,2.88,0
2018,2,1,0,1,4,2,298.56,0,298.56,0,NA,0
2020,44,5,0,4,4,16,14263.41,2049.76,12213.65,0,0.33,0
2019,26,1,0,1,6,3,250.12,0,250.12,0,3.23,0
2019,37,5,0,4,4,7,8669.72,1373.28,7296.44,0,1.06,0
2019,43,5,0,4,3,16,32597.88,5424.98,9681.75,17491.15,0.34,0
2019,34,5,0,4,6,4,816.96,0,816.96,0,NA,0
2019,1,5,0,4,4,6,4718.39,0,4718.39,0,0.79,0
2019,16,5,0,4,3,12,19271.17,0,19271.17,0,0.57,0
2020,36,5,0,4,3,10,25826.64,4875.03,0,20951.61,0.68,0
2017,24,1,0,1,4,3,5579.03,0,5579.03,0,2.04,0
2019,27,2,0,4,3,16,40338.54,0,40338.54,0,3.76,0
2019,19,1,0,1,3,8,14513.37,205.96,14307.4,0,1.83,0
2018,22,1,0,1,4,3,3577.05,521.03,3056.02,0,2.77,0
2018,46,5,0,4,3,7,15188.58,2307.39,6372.08,6509.11,0.18,0
2020,17,4,3.66,4,1,12,14721.88,0,14721.88,0,3.64,0
2020,37,5,0,4,4,4,3234.11,0,3234.11,0,1.23,0
2019,6,1,0,1,4,6,6213.93,0,6213.93,0,2.62,0
2017,2,5,0,4,4,7,9024.79,0,9024.79,0,1.39,0
2020,22,1,0,1,4,3,2522.61,197.81,2324.8,0,3.05,0
2019,24,5,0,4,4,7,8980.37,2324.17,6656.2,0,0.32,3
2018,16,1,0,1,4,1,248.07,0,248.07,0,2.92,0
2017,16,1,0,1,3,7,15491.01,2785,12706.01,0,1.6,0
2017,24,5,0,4,3,5,8260.41,2428.59,4697.41,1134.41,0.55,0
2019,22,1,0,1,4,3,2414.3,0,2414.3,0,2.73,1
2020,37,1,0,1,4,5,5709.31,0,5709.31,0,3.26,0
2017,21,1,0,1,4,4,3199.22,20.94,3178.28,0,2.41,0
2018,44,5,0,4,3,3,3008.99,268.07,2740.92,0,0.04,0
2020,23,5,0,4,3,16,37573.87,1558.7,36015.16,0,0.8,0
2020,44,1,0,1,3,11,24637.27,281.05,24356.22,0,1.55,0
2020,15,1,0,1,3,6,10711.11,2436.93,8274.17,0,1.82,0
2020,23,1,0,1,4,4,4097.96,108.26,3989.7,0,3.06,0
2018,5,3,0,4,3,6,10896.58,0,10896.58,0,1.24,0
2020,15,5,0,4,3,9,18766.52,6174.49,6578.58,6013.45,0.59,0
2018,17,1,0,1,3,6,5028.53,0,0,5028.53,2.59,0
2018,43,5,0,4,3,1,1712.24,0,1712.24,0,0.4,0
2019,38,5,0,3,3,89,175087.99,59431.48,0,115656.51,NA,8
2017,38,1,0,1,6,19,17142.15,3120.75,0,14021.39,2.85,0
2019,7,5,0,4,3,50,124248.94,13765.44,61306.06,49177.44,1.23,0
2018,31,1,0,1,3,12,25033.85,10539.15,0,14494.7,2.37,0
2020,28,1,0,1,3,8,21174.88,0,21174.88,0,1.34,3
2019,18,1,0,1,3,3,4044.72,8.01,4036.71,0,3.67,0
2018,37,5,0,4,3,14,31516.27,5345.08,26171.19,0,0.99,0
2017,12,1,0,1,4,4,5311.83,2252.93,3058.9,0,NA,0
2020,27,1,0,1,3,2,1944.63,4.01,1940.62,0,3.83,0
2019,29,1,0,1,4,4,3621.34,0,3621.34,0,3.04,0
2017,4,1,0,1,4,2,656.74,0,656.74,0,2.23,0
2018,43,2,0,4,3,13,28695.1,9432.01,0,19263.1,1.33,0
2017,32,1,0,1,3,4,1086.88,6.1,1080.78,0,1.54,0
2017,30,1,0,1,4,8,4469.22,40.06,4429.16,0,2.82,0
2018,20,4,3.76,4,1,12,23340.62,520.1,22820.52,0,1.73,0
