Year,Region,Commodity,Distance,Function,Status,Num_employee,Employee_hour,Hours_office,Hours_operation,Hours_other,Safety_cost,Num_accidents
2018,34,1,0,1,4,1,911.96,0,911.96,0,2.51,0
2020,44,1,0,1,3,20,60876.87,5299.9,55576.97,0,2.14,0
2020,37,1,0,1,3,4,4638.77,0,4638.77,0,1.67,0
2018,45,4,0,4,1,27,97132.48,0,97132.48,0,3.29,7
2019,24,5,0,4,3,149,309782.17,10399.77,48511.93,250870.47,0.62,5
2017,2,1,0,1,4,4,2299.6,0,2299.6,0,1.51,0
2019,35,1,0,1,4,2,3064.43,1014.12,2050.31,0,1.5,0
2018,48,5,0,4,4,1,402.72,0,0,402.72,0.5,0
2020,41,1,0,1,4,1,34.03,0,0,34.03,3,0
2017,36,5,0,4,3,46,73122.31,230.04,27884.69,45007.58,NA,3
2020,13,1,0,1,4,2,163.94,4.37,159.57,0,3.45,0
2020,5,5,0,4,3,5,7664.16,1616.04,6048.12,0,0.93,0
2020,43,5,0,4,4,8,5498.53,704.81,4793.72,0,1.37,0
2017,38,5,0,4,4,1,1578.92,0,1578.92,0,3.74,0
2019,38,1,0,1,3,11,25669.24,7722.06,17947.18,0,1.64,0
2020,38,5,0,4,6,3,6649.78,2173.87,4475.91,0,0.61,0
2019,12,1,0,1,4,3,2263.75,0,2263.75,0,2.26,0
2020,41,2,0,4,3,43,81596.88,6743.66,31389.42,43463.81,0.87,2
2020,27,1,0,1,6,4,170.57,10.03,160.54,0,3.61,0
2017,32,3,0,3,5,20,30764.6,4207.36,0,26557.24,3.54,0
2020,22,1,0,1,4,2,2271.02,0,2271.02,0,3.42,0
2020,5,5,0,4,3,19,23577.67,4903.63,18674.03,0,3.24,0
2017,34,5,0,4,4,12,33017.96,4048.24,28969.72,0,0.08,0
2020,5,2,0,4,3,10,21018.03,4327.8,4435.79,12254.43,0.68,0
2018,23,1,0,1,4,2,789.95,0,789.95,0,1.72,0
2020,9,2,0,3,3,8,16243.67,0,0,16243.67,1.23,2
2018,24,5,0,4,4,6,818.64,119.65,375.91,323.07,0.14,0
2020,38,5,0,4,3,15,35291.77,5719.96,0,29571.81,0.05,3
2019,24,5,0,4,4,2,47.9,14.61,0,33.29,0.51,0
2017,35,1,0,1,3,8,18274.19,3717.24,14556.94,0,2.13,1
2019,48,1,0,1,3,12,31493,2051.02,29441.97,0,1.73,0
2017,44,5,0,4,3,70,149232.04,9360.75,139871.28,0,1.24,3
2017,38,4,3.66,4,7,1,210.5,0,210.5,0,3.17,0
2017,15,4,0,3,1,7,8791.56,1888.54,5563.76,1339.26,3.92,0
2019,2,5,0,4,3,115,265260.02,10724.27,31989.83,222545.91,NA,4
2019,17,4,3.71,4,1,6,20011.43,0,0,20011.43,3.89,0
2017,35,5,0,4,3,19,27556.91,3408.75,19240.95,4907.2,0.48,0
2017,24,1,0,1,4,4,5001.66,0,5001.66,0,3.03,0
2018,13,1,0,1,6,1,55.33,0,55.33,0,3.58,0
2019,19,5,0,4,3,9,20169.81,4007.56,16162.24,0,1.22,0
2019,46,4,4.06,4,2,11,25377.2,0,25377.2,0,3.75,0
2019,22,1,0,1,6,2,1586.92,92.76,1494.16,0,NA,0
2019,38,4,3.71,4,1,4,8036.78,0,8036.78,0,3.85,0
2018,16,5,0,4,3,10,27446.63,8,27438.63,0,0.98,2
2017,22,1,0,1,4,4,3971.17,97.05,3874.11,0,2.81,0
2017,5,1,0,1,3,36,84338.24,17221.6,67116.64,0,3.13,0
2018,47,1,0,1,4,2,211.81,0,211.81,0,2.2,0
2020,27,5,0,4,3,25,82888.29,8287.33,74600.96,0,0.2,0
2020,19,1,0,1,4,3,845.02,11,834.02,0,2.75,0
2018,17,4,4.29,2,2,4,9351.15,0,0,9351.15,0.37,0
2018,44,1,0,1,3,7,15900.43,2196.13,0,13704.3,3.43,0
2020,22,1,0,1,4,2,4011.28,2702.87,1308.42,0,3.05,0
2017,48,1,0,1,4,4,5962.7,2367.1,3595.6,0,3.11,0
2017,4,1,0,1,4,7,16372.38,0,16372.38,0,1.74,0
2019,33,3,0,2,3,13,26600.02,0,0,26600.02,3.87,0
2018,6,1,0,1,4,5,8896.93,0,8896.93,0,2.82,0
2020,12,1,0,1,4,4,7102.24,1761.06,0,5341.18,3.32,0
2018,14,1,0,1,4,5,323.97,0,323.97,0,2.11,0
2019,38,1,0,1,6,2,95.28,42.35,52.94,0,3.13,0
2017,44,5,0,4,3,17,46893.14,2884.93,44008.21,0,1.02,0
2017,6,1,0,1,4,3,3230.83,295.26,2935.57,0,2.19,0
2018,26,3,0,4,6,3,442.17,0,442.17,0,0.62,0
2020,29,1,0,1,3,3,4219.83,153.25,0,4066.58,2.22,0
2018,34,1,0,1,3,19,37570.93,10704.69,26866.23,0,1.57,0
2020,6,4,4.68,3,1,65,99334.03,8999.82,0,90334.21,1.98,0
2018,2,4,3.76,2,7,4,902.41,162.23,0,740.18,3.32,0
2020,38,5,0,4,4,7,7885.46,3,7882.46,0,1.14,0
2020,3,4,3.76,4,1,9,24856.23,0,24856.23,0,3.46,0
2019,24,5,0,4,3,11,21258.88,4522.7,16736.18,0,NA,3
2020,6,3,0,2,5,24,44079.79,17411.13,0,26668.67,3.67,0
2018,25,1,0,1,4,4,615.29,17.15,598.15,0,2.98,0
2017,48,5,0,4,3,3,5272.33,319.47,4952.85,0,1.17,0
2019,4,1,0,1,6,6,476.27,158.76,317.52,0,3.7,0
2020,44,2,0,4,3,60,137123.17,24607.49,112515.68,0,NA,3
2017,47,5,0,4,4,2,2467.14,0,2467.14,0,0.92,0
2017,22,1,0,1,4,1,915.87,0,915.87,0,3,0
2020,46,4,0,3,1,15,35610.21,14122.5,0,21487.71,3.88,0
2018,23,1,0,1,4,1,670.6,0,670.6,0,2.1,0
2020,20,1,0,1,3,15,41059.88,2751.19,38308.69,0,2.87,1
2019,17,5,0,4,4,10,22841.92,2218.7,20623.22,0,0.25,0
2020,34,5,0,4,4,4,759.32,143.68,615.64,0,0.41,0
2019,24,5,0,4,3,151,322300.87,14888.46,37962.16,269450.25,NA,10
2017,44,5,0,4,3,1,3149.23,0,3149.23,0,3.36,0
2017,3,5,0,4,3,16,21704.08,4519.18,15296.23,1888.66,3.26,1
2019,23,1,0,1,4,3,707.54,4.04,703.5,0,2.31,0
2019,35,1,0,1,4,3,2566.27,1851.74,714.53,0,3.1,0
2019,34,1,0,1,4,2,804.71,3.06,801.65,0,2.94,0
2020,17,4,0,3,2,17,31875.82,0,0,31875.82,3.85,1
2017,14,1,0,1,3,5,5947.83,2823.39,0,3124.43,2.11,0
2020,4,1,0,1,3,9,15885.75,1853.74,14032.01,0,1.81,0
2018,12,1,0,1,4,3,4445.29,1353.87,3091.42,0,1.7,0
2017,44,5,0,4,3,113,255049.72,39654.89,125430.81,89964.02,0.39,4
2019,4,1,0,1,3,6,10375.31,2882.36,7492.95,0,1.78,0
